Product_ID,Product_Name,Category,Price,Quantity_Sold,Release_Date,Is_Active
P001,Wireless Mouse,Electronics,25.99,12,15-01-2023,TRUE
P002,Mechanical Keyboard,Electronics,89.99,5,20-02-2023,TRUE
P003,Gaming Chair,Furniture,249.99,2,05-11-2022,FALSE
P004,Running Shoes,Apparel,79.99,15,10-03-2023,TRUE
P005,Desk Lamp,Furniture,19.99,,22-01-2023,TRUE
P002,Mechanical Keyboard,Electronics,89.99,5,20-02-2023,TRUE
P006,Water Bottle,,14.5,20,01-04-2023,TRUE
P007,Bluetooth Speaker,Electronics,-45,8,30-01-2023,TRUE
P008,Yoga Mat,Apparel,29.99,1000,12-05-2023,TRUE
P009,Coffee Maker,Appliances,120,3,22-06-2023,TRUE
P010, Backpack,Apparel,49.99,10,,FALSE
P011,Smart Watch,Electronics,199.99,1,18-07-2023,TRUE
P012,Blender,Appliances,55.5,N/A,25-03-2023,FALSE
P013,Desk Mat,Office,15.99,4,14-02-2023,yes
P004,Running Shoes,Apparel,79.99,15,10-03-2023,TRUE
